ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01243,44140,0.000000000,1.000000000,1.000000000,1.000000000
01244,38340,0.000000000,1.000000000,1.000000000,1.000000000
01245,38340,1.000000000,1.000000000,1.000000000,1.000000000
01247,44140,0.003438272,0.000000000,0.000000000,0.002931745
01247,38340,0.996561728,1.000000000,1.000000000,0.997068255
01252,38340,0.000000000,0.000000000,1.000000000,1.000000000
01253,38340,1.000000000,1.000000000,1.000000000,1.000000000
01254,38340,1.000000000,1.000000000,1.000000000,1.000000000
01255,38340,1.000000000,1.000000000,1.000000000,1.000000000
01256,38340,1.000000000,1.000000000,1.000000000,1.000000000
01257,38340,1.000000000,1.000000000,1.000000000,1.000000000
01258,38340,1.000000000,1.000000000,1.000000000,1.000000000
01259,38340,1.000000000,1.000000000,1.000000000,1.000000000
01260,38340,0.000000000,0.000000000,1.000000000,1.000000000
01262,38340,0.000000000,0.000000000,1.000000000,1.000000000
01263,38340,0.000000000,1.000000000,0.000000000,1.000000000
01264,38340,0.000000000,0.000000000,1.000000000,1.000000000
01266,38340,1.000000000,1.000000000,1.000000000,1.000000000
01267,38340,1.000000000,1.000000000,1.000000000,1.000000000
01270,38340,1.000000000,1.000000000,1.000000000,1.000000000
01301,44140,1.000000000,1.000000000,1.000000000,1.000000000
01302,44140,1.000000000,1.000000000,1.000000000,1.000000000
01330,44140,1.000000000,1.000000000,1.000000000,1.000000000
01331,44140,0.001438159,0.002427184,0.000000000,0.001434514
01331,49340,0.998561841,0.997572816,1.000000000,0.998565486
01337,44140,1.000000000,1.000000000,1.000000000,1.000000000
01338,44140,1.000000000,1.000000000,1.000000000,1.000000000
01339,44140,1.000000000,1.000000000,1.000000000,1.000000000
01340,44140,1.000000000,1.000000000,1.000000000,1.000000000
01341,44140,1.000000000,1.000000000,1.000000000,1.000000000
01342,44140,1.000000000,1.000000000,1.000000000,1.000000000
01343,44140,0.022471910,0.000000000,0.000000000,0.021276596
01343,38340,0.977528090,1.000000000,1.000000000,0.978723404
01344,44140,1.000000000,1.000000000,1.000000000,1.000000000
01346,44140,1.000000000,0.000000000,1.000000000,1.000000000
01347,44140,0.000000000,0.000000000,1.000000000,1.000000000
01349,44140,1.000000000,1.000000000,1.000000000,1.000000000
01350,44140,1.000000000,1.000000000,1.000000000,1.000000000
01351,44140,1.000000000,1.000000000,1.000000000,1.000000000
01354,44140,1.000000000,1.000000000,1.000000000,1.000000000
01355,44140,1.000000000,1.000000000,1.000000000,1.000000000
01360,44140,1.000000000,1.000000000,1.000000000,1.000000000
01364,49340,0.002194185,0.005449591,0.000000000,0.002370230
01364,44140,0.997805815,0.994550409,1.000000000,0.997629770
01366,49340,1.000000000,1.000000000,1.000000000,1.000000000
01367,44140,0.931147541,0.937500000,1.000000000,0.932307692
01367,38340,0.068852459,0.062500000,0.000000000,0.067692308
01368,49340,1.000000000,1.000000000,1.000000000,1.000000000
01370,44140,1.000000000,1.000000000,1.000000000,1.000000000
01373,44140,1.000000000,1.000000000,1.000000000,1.000000000
01375,44140,1.000000000,1.000000000,1.000000000,1.000000000
01376,44140,1.000000000,1.000000000,1.000000000,1.000000000
01378,44140,1.000000000,1.000000000,1.000000000,1.000000000
01379,44140,1.000000000,1.000000000,1.000000000,1.000000000
01380,44140,1.000000000,0.000000000,1.000000000,1.000000000
01420,49340,1.000000000,1.000000000,1.000000000,1.000000000
01430,49340,1.000000000,1.000000000,1.000000000,1.000000000
01431,14460,0.998278830,1.000000000,1.000000000,0.998357964
01431,49340,0.001721170,0.000000000,0.000000000,0.001642036
01432,14460,1.000000000,1.000000000,1.000000000,1.000000000
01434,14460,0.231441048,0.117845118,0.354166667,0.182926829
01434,49340,0.768558952,0.882154882,0.645833333,0.817073171
01436,49340,1.000000000,1.000000000,1.000000000,1.000000000
01438,49340,1.000000000,0.000000000,1.000000000,1.000000000
01440,49340,1.000000000,1.000000000,1.000000000,1.000000000
01441,49340,0.000000000,0.000000000,1.000000000,1.000000000
01450,14460,1.000000000,1.000000000,1.000000000,1.000000000
01451,49340,0.988815100,1.000000000,1.000000000,0.989990616
01451,14460,0.011184900,0.000000000,0.000000000,0.010009384
01452,49340,1.000000000,1.000000000,1.000000000,1.000000000
01453,49340,1.000000000,1.000000000,1.000000000,1.000000000
01460,49340,0.001727116,0.000000000,0.000000000,0.001490591
01460,14460,0.998272884,1.000000000,1.000000000,0.998509409
01462,49340,0.998684458,1.000000000,1.000000000,0.998775367
01462,14460,0.001315542,0.000000000,0.000000000,0.001224633
01463,14460,1.000000000,1.000000000,1.000000000,1.000000000
01464,14460,1.000000000,1.000000000,1.000000000,1.000000000
01467,49340,0.000000000,0.000000000,1.000000000,1.000000000
01468,49340,1.000000000,1.000000000,1.000000000,1.000000000
01469,14460,1.000000000,1.000000000,1.000000000,1.000000000
01472,14460,0.000000000,0.000000000,1.000000000,1.000000000
01473,49340,1.000000000,1.000000000,1.000000000,1.000000000
01474,14460,1.000000000,1.000000000,1.000000000,1.000000000
01475,49340,1.000000000,1.000000000,1.000000000,1.000000000
01501,49340,1.000000000,1.000000000,1.000000000,1.000000000
01503,49340,1.000000000,0.988304094,1.000000000,0.999027710
01503,14460,0.000000000,0.011695906,0.000000000,0.000972290
01504,49340,0.998413957,1.000000000,1.000000000,0.998563218
01504,14460,0.001586043,0.000000000,0.000000000,0.001436782
01505,49340,1.000000000,1.000000000,1.000000000,1.000000000
01506,49340,1.000000000,1.000000000,1.000000000,1.000000000
01507,49340,1.000000000,1.000000000,1.000000000,1.000000000
01508,49340,1.000000000,0.000000000,1.000000000,1.000000000
01509,49340,1.000000000,0.000000000,1.000000000,1.000000000
01510,49340,1.000000000,1.000000000,1.000000000,1.000000000
01515,49340,1.000000000,1.000000000,1.000000000,1.000000000
01516,49340,1.000000000,1.000000000,1.000000000,1.000000000
01518,49340,1.000000000,1.000000000,1.000000000,1.000000000
